"id","boro_ct2000","median_hh_income"
1245,"3031100","25086"
1246,"3031300","22514"
1133,"3031400","32083"
1148,"3031500","26019"
159,"3031701","27007"
994,"3031702","30093"
1684,"3031900","33738"
936,"3032000","55781"
1028,"3032100","28659"
160,"3032300","29747"
1114,"3032500","28111"
2044,"3032600","12041"
1676,"3032700","33038"
1136,"3032800","24750"
161,"3032900","27454"
1135,"3033000","20276"
162,"3033100","26954"
1685,"3033300","35625"
1403,"3033500","36528"
1137,"3033600","33359"
163,"3033700","30763"
164,"3033900","37519"
2127,"3034000","16028"
165,"3034100","30909"
166,"3034200","10069"
863,"3034300","16981"
864,"3034500","32917"
1084,"3034700","16078"
1525,"3034801","27448"
1558,"3034802","16250"
663,"3034900","27981"
1416,"3035000","25938"
625,"3035100","26124"
2130,"3035200","7863"
1404,"3035300","27188"
1770,"3035400","28678"
1409,"3035500","26992"
967,"3035600","30493"
909,"3035700","19712"
910,"3035900","19333"
1724,"3036001","19539"
700,"3036002","12351"
1244,"3036100","17212"
1564,"3036200","18854"
240,"3036300","12212"
968,"3036400","19693"
1140,"3036501","20948"
241,"3036502","26771"
1196,"3036600","30817"
772,"3036700","20714"
811,"3036900","21170"
1197,"3037000","39104"
1329,"3037100","23799"
853,"3037300","20912"
1007,"3037400","37924"
854,"3037500","20510"
852,"3037700","34601"
1401,"3037900","31650"
1406,"3038100","16560"
1322,"3038200","15601"
1191,"3038300","35966"
808,"3038500","23750"
1098,"3038600","26129"
1030,"3038700","22338"
242,"3038800","37571"
1350,"3038900","25208"
654,"3039000","38102"
1351,"3039100","13947"
1207,"3039200","31898"
1816,"3039300","23456"
869,"3039400","27452"
1817,"3039500","20417"
243,"3039600","33313"
244,"3039700","21729"
1099,"3039800","31078"
245,"3039900","16594"
1177,"3040000","30559"
246,"3040100","21029"
1323,"3040200","39960"
711,"3040300","26341"
247,"3040400","39028"
1426,"3040500","33125"
248,"3040600","31828"
1448,"3040700","0"
249,"3040800","33850"
1449,"3040900","24048"
1178,"3041000","40577"
1446,"3041100","17750"
1032,"3041200","35170"
250,"3041300","22654"
251,"3041401","37143"
870,"3041402","36850"
252,"3041500","25983"
871,"3041600","41542"
253,"3041700","16394"
254,"3041800","27778"
255,"3041900","22788"
256,"3042000","44904"
257,"3042100","19767"
797,"3042200","35136"
1071,"3042300","20889"
1031,"3042400","34583"
1349,"3042500","17109"
258,"3042600","30477"
259,"3042700","19297"
260,"3042800","31667"
261,"3042900","16431"
262,"3043000","27260"
263,"3043100","20960"
